horizon,timestep,n_hidden,mae,mse,mape
3,15,32,28.9092558777,2010.59081752,54.4944785453
6,15,32,39.3596231275,3402.6360833,113.728705448
12,15,32,54.0770282427,5818.48822455,159.894606243
24,15,32,61.5858071311,6988.49699706,212.885848209
3,3,16,28.3469375984,1946.30784107,53.8508153086
6,3,16,39.4829746471,3535.4238375,99.5076729951
12,3,16,54.8609118334,5783.75064674,174.637663781
24,3,16,60.682296276,7196.08764653,183.136693239
3,3,32,28.7537173818,2026.55467335,52.974133183
6,3,32,42.6455434979,3648.57953336,130.852653349
12,3,32,52.8852221972,5710.09599778,149.501886927
24,3,32,60.963785724,7356.67224687,181.227400872
3,3,64,27.3763419441,1851.87836191,58.5316718941
6,3,64,42.589341343,3833.97342744,111.476191628
12,3,64,52.7710404528,5473.74645934,161.616907107
24,3,64,62.5586738853,7188.90659735,212.138405483
3,3,128,28.8636640352,2007.24770853,63.0559996916
6,3,128,40.9322492355,3599.79833628,110.127922581
12,3,128,52.8665406986,5611.97070321,160.95873742
24,3,128,61.6643473846,7177.40946778,203.818447063
3,3,256,35.2338075388,2535.59589794,97.5730153661
6,3,256,41.5275985285,3641.04096519,112.096874557
12,3,256,93.1532437055,17026.8913553,144.413347725
24,3,256,62.2147626342,7542.27378995,188.147378961
3,5,16,27.1029599052,1906.11409109,60.7497349399
6,5,16,40.8743607819,3617.91582045,109.537301333
12,5,16,52.3518398157,5573.44055843,151.980223796
24,5,16,61.1030845594,7052.40287511,202.888986612
3,5,32,26.600965444,1795.03176935,55.3631065686
6,5,32,40.5089757337,3695.9651421,88.1186988232
12,5,32,53.4604615438,5597.62183361,165.758105715
24,5,32,60.7820258068,7206.5645918,187.908241686
3,5,64,26.983720756,1811.41965064,55.8503319305
6,5,64,40.4239431311,3623.69671799,103.047274168
12,5,64,53.7054199035,5811.29976084,154.064874352
24,5,64,62.0534088381,7301.42551898,199.500411552
3,5,128,32.1693778636,2151.25994617,89.1494451231
6,5,128,42.3791552409,3796.7144242,124.491272902
12,5,128,56.0555626773,6500.00684732,144.428003424
24,5,128,63.6646409537,7491.26633353,206.064880429
3,5,256,33.4037181062,2362.95410484,73.8344481707
6,5,256,53.1137630624,5894.78652911,148.633678141
12,5,256,60.103800692,6305.81961992,204.23822975
24,5,256,63.1760231642,7474.47515174,202.701418373
3,10,16,27.3437956485,1792.41576004,66.3627540952
6,10,16,42.4049058603,3684.7406633,127.077033441
12,10,16,55.0578875899,6006.47345549,163.900616538
24,10,16,61.2974202665,7463.07822975,177.774414355
3,10,32,27.2123194864,1784.85170698,66.4036720241
6,10,32,40.9096413275,3675.55522108,102.738425145
12,10,32,55.2573798111,5883.74647104,171.05777931
