horizon,timestep,n_hidden,mae,mse,mape
3,3,16,9.84935328431,313.384423138,14.2822468453
6,3,16,12.8353930698,528.256766351,17.3879313155
12,3,16,13.8048288179,581.702400377,19.7771929042
24,3,16,10.3895290716,364.218690737,14.6121638584
1,3,16,5.24831034335,97.7056875918,7.90380021515
3,3,16,10.1065737986,332.120639636,14.5485924532
6,3,16,13.6199973027,571.562027267,18.9293210052
12,3,16,14.4269563906,533.37157636,21.2809752997
24,3,16,9.95896995635,328.349515322,14.4111137671
1,3,32,4.54437115406,66.3805538646,7.21395083967
3,3,32,10.651330747,316.303525907,16.8127535704
6,3,32,12.7324513578,438.212782862,18.8363261014
12,3,32,12.0720943766,487.068818111,17.2698774341
24,3,32,10.096295184,335.754258946,14.0426973469
1,3,64,4.70578428617,74.2507728699,7.23379931435
3,3,64,10.1233188564,267.400944299,16.5163795866
6,3,64,18.3542943946,1153.11510143,22.576894372
12,3,64,12.0418202045,516.07580232,16.1924842226
24,3,64,10.27320468,354.268668722,14.1694989047
1,3,128,7.60059771289,143.706376248,13.1540538866
3,3,128,11.8386188105,451.127172144,16.4999597182
6,3,128,16.2058426788,901.204847993,21.0605269773
12,3,128,13.5395103936,617.359449718,18.1751328563
24,3,128,10.591549432,368.633435978,14.6345307285
1,3,256,5.30851643692,93.6380425941,8.08383181339
3,3,256,10.2090191576,288.662524742,16.2241487245
6,3,256,17.1610906604,1042.71388119,21.6378126968
12,3,256,15.0422946318,811.938110508,19.0260046801
24,3,256,12.4060050348,418.744593683,18.3881731298
1,5,16,5.83173361226,90.4493541143,9.81622249326
3,5,16,10.0284298072,247.652802594,16.7770643183
6,5,16,12.3373442981,482.399263692,17.1759172249
12,5,16,12.4316531999,440.260068061,18.2913299149
24,5,16,10.361586536,393.601937219,14.5320450565
1,5,32,5.09279233792,72.7352884645,8.34363633867
3,5,32,9.82988736059,308.669853021,14.0927199588
6,5,32,11.2066718271,326.947310695,17.1932756378
12,5,32,12.1541871467,507.892272439,17.1937342509
24,5,32,10.2287341519,363.936582307,14.1790770155
1,5,64,4.76110033419,72.405335948,7.46117234618
3,5,64,10.1586406848,357.283694626,14.0149836569
6,5,64,13.6259921895,632.736274033,17.6442546397
12,5,64,12.609242316,494.5558985,18.2700138963
24,5,64,11.3134391735,454.790833777,15.1010974049
1,5,128,7.68356588878,181.090647076,11.3944268675
3,5,128,11.1273889832,375.724063433,15.9300278992
6,5,128,13.2940101571,429.259661342,20.8430062377
12,5,128,16.7105685969,991.501176886,21.8565837144
24,5,128,11.5513023505,387.791265546,17.6291018222
1,5,256,51.4544021346,5145.42102958,87.5434535275
3,5,256,14.8071344044,685.782619574,19.7877906115
6,5,256,14.0834311506,689.940547174,18.3232571665
12,5,256,14.1616380212,561.562946291,20.0829448623
24,5,256,19.5780216709,1239.72660545,26.1940136817
1,10,16,5.93430283983,129.938388819,8.53292054297
3,10,16,9.34786986975,265.801486899,13.7503854801
6,10,16,10.3795547696,335.140714138,14.8163847009
12,10,16,10.9436364641,374.821096307,16.4925725267
24,10,16,10.947327319,462.732369389,14.2261463841
1,10,32,5.90474402138,113.767481329,8.71620830975
3,10,32,10.0882173217,331.760117289,14.1815260563
6,10,32,12.7690241883,515.823796921,17.4533872447
12,10,32,11.5791180294,443.764093738,16.6897904094
24,10,32,9.85018285141,309.650319505,14.3197933973
1,10,64,4.92786785504,79.0101040621,7.69819791076
3,10,64,11.8777414077,467.4745419,15.8133484752
6,10,64,12.657209736,483.486937928,17.5621102268
12,10,64,11.909304912,449.64690994,16.9655949531
24,10,64,10.7626774333,372.52128555,14.619945237
1,10,128,5.0558989226,76.3442881339,7.93322221977
3,10,128,12.9420224591,472.753195606,19.3374175131
6,10,128,16.5811769753,890.575757397,21.1828182856
12,10,128,16.3275661898,865.343647278,22.0561458206
24,10,128,15.3011515767,592.073097549,21.7255853587
1,10,256,36.0981416511,2823.21586139,57.0688500272
3,10,256,17.0864987838,913.048094817,22.3495165483
6,10,256,30.7728344564,2104.60190702,49.6209383097
12,10,256,19.4581270433,1208.14238084,24.8410445663
24,10,256,30.8258781014,1909.45042001,48.4187511373
1,15,16,5.68608550997,105.644261564,8.65831607341
3,15,16,9.87842355463,318.142270196,14.2869466552
6,15,16,10.2351058476,335.101384078,15.432620763
12,15,16,10.6079748983,374.289840535,14.980055721
24,15,16,9.80784746405,295.347113886,14.9280531276
1,15,32,4.72106252981,80.1224435013,6.99773831365
3,15,32,8.97908365048,247.371279325,13.6521364846
6,15,32,10.8723860651,400.068303619,15.303231295
12,15,32,12.2814022244,570.070520843,16.9473159969
24,15,32,9.79030475426,318.321018154,13.8649498522
1,15,64,5.33179035698,84.9820909789,8.31209693758
3,15,64,9.47495370875,302.138222588,13.2934472284
6,15,64,11.1211389184,390.462401358,16.4976700966
12,15,64,13.3036412128,624.945077391,17.0855236391
24,15,64,10.8178949287,420.675853161,14.3941193312
1,15,128,13.5422303066,607.016849429,18.0810253625
3,15,128,10.7695046278,369.359060293,14.9904512755
